المفرد,النوع,الجمع,الأمثلة
فَعْل,صفة,فُعُل,‏(سماعي): سَحْل سُحُل، نَجْد نُجُد ...
فَعْل,اسم,فُعْل,‏(سماعي): صَقْر صُقْر، سَقْف سُقْف، حَظّ حُظّ، كَفّ كُفّ، ضَبْع ضُبْع، وَكْن وُكْن، جَوْن جُون ...
فَعْل,صفة,فُعْل,‏(سماعي): جَلْد جُلْد، حَشْر حُشْر، ثَطّ ثُطّ، جَوْن جُون، خَوْد خُود، كَزّ كُزّ، لَدْن لُدْن، نَسْء نُسْء ...
فَعْل,اسم,فِعَل,‏(سماعي): قَشْع قِشَع، حَرْف حِرَف، طَلّ طِلَل ...
فَعْل,صفة,فُعَلاء,‏(سماعي): سَمْح سُمَحاء، نَذْل نُذَلاء، مَحْت مُحَتاء، نَدْب نُدَباء ...
فَعْل,اسم,فِعْلاء,‏(سماعي): حَظّ حِظّاء ...
فَعْل,اسم,فُعْلان,الصحيح العين: ظَهْر ظُهْران، بَطْن بُطْنان، رَكْب رُكْبان، وَحْش وُحْشان، شَطّ شُطّان، عَبْد عُبدان ...
فَعْل,صفة,فُعْلان,‏(سماعي): وَغْد وُغْدان، ثَطّ ثُطّان ...
فَعْل,اسم,فِعْلان,‏(سماعي): عَبْد عِبْدان، خَيْط خِيطان، أَخ إخْوان، فَأْر فِئْران، جَحْش جِحْشان، رَأْل رِئْلان، فَرْخ فِرْخان، ثَوْر ثِيران، وَصْع وِصْعان، حَشّ حِشّان، جَدْي جِدْيان، وَقْط وِقْطان ...
فَعْل,صفة,فِعْلان,‏(سماعي): شَيْخ شِيخان، ضَيْف ضِيفان، وَغْد وِغْدان ...
فَعْل,صفة,فَعَلة,‏(سماعي): بَرّ بَرَرة، عَقّ عَقَقة ...
فَعْل,اسم,فِعَلة,‏(سماعي): تَيْس تِيَسة، زَوْج زِوَجة، طَوْد طِوَدة، ثَوْر ثِوَرة، ثَوْر ثِيَرة، عَرْش عِرَشة، قَعْب قِعَبة، غَرْد غِرَدة، فَأْر فِئَرة، شَقْب شِقَبة، جَحْش جِحَشة، دَرْص دِرَصة ...
فَعْل,صفة,فِعَلة,‏(سماعي): شَيْخ شِيَخة، رَطْل رِطَلة ...
فَعْل,اسم,فِعْلة,‏(سماعي): أَخ إخْوة، خَرْق خِرْقة، ثَوْر ثِيرة ...
فَعْل,صفة,فِعْلة,‏(سماعي): شَيْخ شِيخة ...
فَعْل,صفة,فَعْلَى,‏(سماعي): جَلْد جَلْدَى ...
فَعْل,اسم,فُعُول,غير واوي العين: سَقْف سُقُوف، سَطْح سُطُوح، فَأْس فُؤُوس، خَيْط خُيُوط، دَلْو دُلِيّ، عَمّ عُمُوم ... وشذ: غَوْر غُؤُور، فَوْج فُؤُوج، هَوْل هُؤُول ...
فَعْل,صفة,فُعُول,‏(سماعي): كَهْل كُهُول، شَيْخ شُيُوخ، ضَيْف ضُيُوف ...
فَعْل,اسم,فُعُولة,‏(سماعي): عَمّ عُمُومة، بَعْل بُعُولة، فَحْل فُحُولة، صَقْر صُقُورة، جَدّ جُدُودة، حَظّ حُظُوظة، عَيْر عُيُورة ...
فَعْل,اسم,فَعِيل,‏(سماعي): عَبْد عَبِيد، كَلْب كَلِيب، مَعْز مَعِيز ...
فَعْل,اسم,فَواعِل,‏(سماعي): أَمْر أَوامِر، نَهْي نَواهٍ ...
فَعْل,اسم,مَفاعِل,‏(سماعي): فَقْر مَفاقِر، عَيْب مَعايِب ...
فَعْل,صفة,مَفاعِل,‏(سماعي): شَيْخ مَشايِخ ...
فُعَل,اسم,أَفْعال,‏(سماعي): رُطَب أَرْطاب، رُبَع أَرْباع ...
فُعَل,اسم,أَفْعُل,‏(سماعي): لم يرد إلا: رُبَع أَرْبُع.
فُعَل,اسم,فِعال,‏(سماعي): رُبَع رِباع، رُطَب رِطاب ...
فُعَل,اسم,فِعْلان,جُرَذ جِرْذان، صُرَد صِرْدان، نُغَر نِغْران، قُذَذ قِذّان، جُعَل جِعْلان، نُهَس نِهْسان ...
فُعُل,اسم,أَفْعال,ظُفُر أَظْفار، عُنُق أَعْناق، خُلُق أَخْلاق، أُذُن آذان، أُفُق آفاق ...
فُعُل,صفة,أَفْعال,‏(سماعي): جُنُب أَجْناب، شُلُل أَشْلال.
فُعُل,اسم,أَفْعُل,‏(سماعي): ظُفُر أَظْفُر، حُقُب أَحْقُب ...
فُعَّل,اسم,فَعاعِل,سُلَّم سَلالِم، دُمَّل دَمامِل ...
فُعَّل,صفة,فَعاعِل,كُرَّز كَرارِز ...
فُعْل,اسم,أَفْعال,ظُفْر أَظْفار، نُور أَنْوار، قُفْل أَقْفال، سُور أَسْوار، عُشّ أَعْشاش، عُود أَعْواد، بُرْج أَبْراج، عُضْو أَعْضاء ...
فُعْل,صفة,أَفْعال,‏(سماعي): حُرّ أَحْرار، صُلْب أَصْلاب، مُرّ أَمْرار ...
فُعْل,اسم,أَفْعُل,‏(سماعي): قُفْل أَقْفُل، رُكْن أَرْكُن، ظُفْر أَظْفُر، صُلْب أَصْلُب، قُرْط أَقْرُط، حُقْب أَحْقُب، بُرْد أَبْرُد ...
فُعْل,اسم,فِعال,غير واوي العين ولا يائي اللام: رُمْح رِماح، دُهْن دِهان، رُبْع رِباع، خُفّ خِفاف، عُشّ عِشاش، خُصّ خِصاص ...
فُعْل,اسم,فِعالة,‏(سماعي): مُهْر مِهارة ...
فُعْل,اسم,فُعَل,‏(سماعي، وقيل قياسي): جُمْل جُمَل ...
فُعْل,اسم,فُعْل,‏(سماعي): فُلْك فُلْك ...
فُعْل,اسم,فُعْلان,‏(سماعي): عُشّ عُشّان، خُصّ خُصّان، خُرْص خُرْصان ...
فُعْل,اسم,فِعْلان,الواوي العين: حُوت حِيتان، نُور نِيران، عُود عِيدان، غُول غِيلان، نُون نِينان ...
فُعْل,اسم,فَعَلة,‏(سماعي): زُقّ زَقَقة ...
فُعْل,اسم,فِعَلة,الصحيح اللام: دُبّ دِبَبة، قُرْط قِرَطة، دُرْج دِرَجة، حُوت حِوَتة، جُحْر جِحَرة، رُمْح رِمَحة، غُول غِوَلة ... (سماعي): تُرْس تِرَسة، قُرْط قِرَطة، غُصْن غِصَنة، جُحْر جِحَرة، جُرْز جِرَزة، قُلْب قِلَبة، حُبّ حِبَبة ...
فُعْل,صفة,فِعَلة,‏(سماعي): صُلْب صِلَبة ...
فُعْل,اسم,فُعُول,غير واوي العين، ولا يائي اللام، ولا المضعف: جُرْح جُرُوح، بُرْج بُرُوج، قُفْل قُفُول ... وشذ (لأنه مضعف): خُصّ خُصُوص، حُصّ حُصُوص ... وشذ (لأنه يائي اللام): نُؤْي نُئِيّ ...
فُعْل,صفة,مَفاعِل,‏(سماعي): حُسْن مَحاسِن، قُبْح مَقابِح ...
فِعَل,اسم,أَفْعال,ضِلَع أَضْلاع، عِنَب أَعْناب ...
فِعَل,اسم,أَفْعُل,‏(سماعي): ضِلَع أَضْلُع ...
فِعَل,اسم,فُعُول,‏(سماعي): ضِلَع ضُلُوع، إرَم أُرُوم ...
فِعَلّ,اسم,فَعالِل,قِمَطْر قَماطِر، فِطَحْل فَطاحِل ...
فِعَلّ,صفة,فَعالِل,فِطَحْل فَطاحِل، سِبَطْر سَباطِر، هِزَبْر هَزابِر ...
فِعِل,اسم,أَفْعال,إبِل آبال، إطِل آطال، حِبِر أَحْبار ...
فِعِل,صفة,أَفْعال,‏(سماعي): إبِد آباد، بِلِز أَبْلاز.
فِعْل,اسم,أَفاعِيل,‏(سماعي): قِدْح أَقادِيح ...
فِعْل,اسم,أَفْعال,سِفْر أَسْفار، جِسْم أَجْسام، حِمْل أَحْمال، حِين أَحْيان، فِيل أَفْيال، جِيل أَجْيال، إثْم آثام، ضِلْع أَضْلاع ...
فِعْل,صفة,أَفْعال,جِلْف أَجْلاف، نِقْض أَنْقاض، نِضْو أَنْضاء، طِلْب أَطْلاب، ظِئْر أَظْآر، قِنّ أَقْنان ...
فِعْل,اسم,أَفْعُل,‏(سماعي): رِجْل أَرْجُل، ذِئْب أَذْؤُب، سِنّ أَسُنّ، ضِلْع أَضْلُع، شِبْل أَشْبُل، دِرْع أَدْرُع، بِئْر أَبْؤُر، رِخْل أَرْخُل ...
فِعْل,صفة,أَفْعُل,‏(سماعي): جِلْف أَجْلُف، ظِئْر أَظْؤُر ...
فِعْل,اسم,أَفْعِلة,‏(سماعي): سِنّ أَسِنَّة، قِدْح أَقْدِحة ...
فِعْل,صفة,أَفْعِلة,‏(سماعي): قِنّ أَقِنّة.
فِعْل,اسم,فِعال,غير واوي العين ولا يائي اللام: ذِئْب ذِئاب، ظِلّ ظِلال، رِيح رِياح، قِدْح قِداح، شِعْب شِعاب، بِئْر بِئار ... وشذ: نِحْي نِحاء ...
فِعْل,صفة,فُعُل,‏(سماعي): بِدْع بُدُع ...
فِعْل,صفة,فُعْل,‏(سماعي): ظِئْر ظُؤْر ...
فِعْل,اسم,فِعَل,‏(سماعي): قِرْد قِرَد، هِدْم هِدَم، مِلْح مِلَح، رِيح رِيَح ...
فِعْل,صفة,فِعْل,‏(سماعي): طِفْل طِفْل ...
فِعْل,صفة,فُعَلاء,‏(سماعي): خِلْم خُلَماء، صِهْر صُهَراء، خِلْص خُلَصاء ...
فِعْل,اسم,فُعْلان,‏(سماعي): ذِئْب ذُؤْبان، زِقّ زُقّان ...
فِعْل,اسم,فِعْلان,‏(سماعي): صِنْو صِنْوان، قِنْو قِنْوان، حِسْل حِسْلان، رِئْد رِئْدان، رِخْل رِخْلان ...
فِعْل,اسم,فَعَلة,‏(سماعي): رِخْل رَخَلة ...
فِعْل,اسم,فِعَلة,‏(سماعي): قِرْد قِرَدة، دِيك دِيَكة، حِسْل حِسَلة، قِحْف قِحَفة، عِلْج عِلَجة، حِصْن حِصَنة، قِطّ قِطَطة، هِرّ هِرَرة، فِيل فِيَلة، زِير زِيَرة، كِير كِيَرة، كِيس كِيَسة، دِيخ دِيَخة، رِخْل رِخَلة، شِقْب شِقَبة، غِرْد غِرَدة ...
فِعْل,صفة,فِعَلة,‏(سماعي): ثِلْب ثِلَبة ...
فِعْل,اسم,فِعْلة,‏(سماعي): ثِنْي ثِنْية ...
فِعْل,صفة,فِعْلة,‏(سماعي): مِلْح مِلْحة ...
فِعْل,اسم,فُعُول,غِمْد غُمُود، جِلْد جُلُود، حِمْل حُمُول، عِطْر عُطُور، ضِرْس ضُرُوس، جِسْم جُسُوم، قِرْد قُرُود ...
فِعْل,صفة,فُعُول,‏(سماعي): ظِئْر ظُؤُور ...
فِعْل,صفة,فُعُولة,‏(سماعي): ظِئْر ظُؤُورة ...
فِعْل,اسم,فَعِيل,‏(سماعي): ضِرْس ضَرِيس ...
فَعْلاء,اسم,فَعالٍ,صَحْراء صَحارٍ، وَرْقاء وَراقٍ، نَبْخاء نَباخٍ، عَزْلاء عَزالٍ ...
فَعْلاء,صفة,فَعالٍ,‏(سماعي): عَذْراء عَذارٍ ...
فَعْلاء,اسم,فِعال,‏(سماعي): بَطْحاء بِطاح ...
فَعْلاء,صفة,فِعال,‏(سماعي): عَجْفاء عِجاف، جَرْباء جِراب، حَسناء حِسان...
فَعْلاء,اسم,فَعالَى,صَحْراء صَحارَى، وَرْقاء وَراقَى، عَزْلاء عَزالَى ...
فَعْلاء,صفة,فَعالَى,‏(سماعي): عَذْراء عَذارَى، خَشْياء خَشايا ...
فَعْلاء,اسم,فَعالِيّ,‏(سماعي): صَحْراء صَحارِيّ ...
فَعْلاء,صفة,فُعَل,‏(سماعي): بَتْعاء بُتَع، جَمْعاء جُمَع، دَرْعاء دُرَع ...
فَعْلاء,صفة,فُعُل,‏(سماعي): حَلْفاء حُلُف ...
فَعْلاء,اسم,فُعْل,‏(سماعي): بَيْداء بِيد ...
فَعْلاء,صفة,فُعْل,مؤنث أَفْعَل: حَمْراء حُمْر، نَجْلاء نُجْل، بَيْضاء بِيض، صَمّاء صُمّ، بَكْماء بُكْم، عَمْياء عُمْي، غَرّاء غُرّ ... وشذ: عَجْزاء عُجْز ... (سماعي): حَلْفاء حُلْف، هَوْجاء هُوج ...
فَعْلاء,صفة,فُعْلان,‏(سماعي): عَمْياء عُمْيان، عَوْراء عُوران، عَرْجاء عُرْجان، قَرْعاء قُرْعان، صَلْعاء صُلْعان، صَمّاء صُمّان ...
فَعْلاء,صفة,فَعْلَى,إذا دلّ على آفة أو مكروه: هَوْجاء هَوْجَى، حَمْقاء حَمْقَى...
فُعَلاء,صفة,فُعال,‏(سماعي): نُفَساء نُفاس.
فُعَلاء,صفة,فُعّال,‏(سماعي): نُفَساء نُفّاس ...
فُعَلاء,صفة,فِعال,‏(سماعي): نُفَساء نِفاس، عُشَراء عِشار.
فُعَلاء,صفة,فُعُل,‏(سماعي): نُفَساء نُفُس ...
فُعَلاء,صفة,فُعَّل,‏(سماعي): نُفَساء نُفَّس ...
فُعَلاء,صفة,فُعْل,‏(سماعي): نُفَساء نُفْس ...
فُعَلاء,صفة,فَواعِل,‏(سماعي): نُفَساء نَوافِس ...
فُعْلاء,اسم,فَعالِيّ,‏(سماعي): قُوباء قَوابِيّ.
فِعْلاء,اسم,فَعالِيّ,‏(سماعي): حِرْباء حَرابِيّ، عِلْباء عَلابِيّ، سِيساء سَياسِيّ ...
فِعْلاءة,صفة,فَعالِيّ,‏(سماعي): حِزْباءة حَزابِيّ ...
فَعْلاة,اسم,فَعالٍ,مَوْماة مَوامٍ، فَيْفاة فَيافٍ ...
فِعْلاة,اسم,فَعالٍ,سِعْلاة سَعالٍ ...
فِعْلاة,صفة,فَعالٍ,عِزْهاة عَزاهٍ ...
فَعْلال,اسم,فَعالِل,زَلْزال زَلازِل ...
فَعْلال,اسم,فَعالِيل,خَلْخال خَلاخِيل ...
فُعْلال,اسم,فَعالِيل,عُنْوان عَناوِين، فُسْطاط فَساطِيط ...
فِعْلال,صفة,فَعالِل,سِرْداح سَرادِح ...
فِعْلال,اسم,فَعالِلة,سِمْسار سَماسِرة، جِلْواز جَلاوِزة ...
فِعْلال,صفة,فَعالِلة,فِرْناس فَرانِسة، عِمْلاق عَمالِقة ...
فِعْلال,اسم,فَعالِيل,قِرْطاس قَراطِيس، قِنْطار قَناطِير، سِرْداب سَرادِيب، غِرْبال غَرابِيل، جِلْباب جَلابِيب، فِنْجان فَناجِين، سِرْبال سَرابِيل ...
فِعْلال,صفة,فَعالِيل,عِمْلاق عَمالِيق ...
فَعَلان,اسم,أَفْعِلة,‏(سماعي): رَمَضان أَرْمِضة ...
فَعَلان,اسم,فَعالِين,كَرَوان كَراوِين، وَرَشان وَراشِين ...
فَعُلان,اسم,فَعالِين,سَبُعان سَباعِين ...
فَعِلان,اسم,فَعالِيّ,‏(سماعي): ظَرِبان ظَرابِيّ ...
فَعِلان,اسم,فَعالِين,ظَرِبان ظَرابِين ...
فَعْلان,صفة,فِعال,إذا كان مؤنث فَعْلان هو فَعْلَى: غَضْبان غِضاب، عَطْشان عِطاش، عَجْلان عِجال، ظَمآن ظِماء، رَيّان رِواء، هَيْمان هِيام ... أو كان مؤنثه فَعْلانة: نَدْمان نِدام ...
فَعْلان,صفة,فَعالَى,نَدْمان نَدامَى، عَطْشان عَطاشَى، سَكْران سَكارَى، غَضْبان غَضابَى، ضَعْفان ضَعافَى، خَزْيان خَزايا، وَحْشان وَحاشَى ...
فَعْلان,صفة,فُعالَى,إذا كان مؤنث فَعْلان هو فَعْلَى: عَطْشان عُطاشَى، عَجْلان عُجالَى، سَكْران سُكارَى، كَسْلان كُسالَى، غَيْران غُيارَى ...
فَعْلان,اسم,فَعالِين,مَيْدان مَيادِين، رَيْحان رَياحِين، شَعْبان شَعابِين ...
فَعْلان,صفة,فَعْلَى,إذا كان مؤنث فَعْلان هو فَعْلَى ودل على آفة من ألم أو نقص أو عيب: عَطْشان عَطْشَى، سَكْران سَكْرَى، كَسْلان كَسْلَى، عَجْلان عَجْلَى، حَزْنان حَزْنَى ...
فُعُلان,اسم,فَعالِين,سُلُطان سَلاطِين ...
فُعْلان,صفة,فِعال,إذا كان مؤنث فُعْلان هو فُعْلانة: خُمْصان خِماص ...
فُعْلان,اسم,فَعالِين,سُلْطان سَلاطِين، قُرْبان قَرابِين، بُسْتان بَساتِين، ثُعْبان ثَعابِين ...
فُعْلان,صفة,فُعَلة,‏(سماعي): عُرْيان عُراة ...
فِعْلان,اسم,فِعال,‏(سماعي): سِرْحان سِراح، ضِبْعان ضِباع ...
فِعْلان,اسم,فَعالِيّ,‏(سماعي): إنْسان أَناسِيّ ...
فِعْلان,اسم,فَعالِين,سِرْحان سَراحِين، ضِبْعان ضَباعِين ...
فَعْلانة,صفة,فِعال,نَدْمانة نِدام، عَطْشانة عِطاش، ظَمْآنة ظِماء ...
فُعْلانة,صفة,فِعال,خُمْصانة خِماص ...
فَعَلة,اسم,أَفْعال,‏(سماعي): شَجَرة أَشْجار، ناقة أَنْواق، أَكَمة آكام، أَجَمة آجام ...
فَعَلة,اسم,أَفْعُل,‏(سماعي): ناقة أَنْوُق، رَقَبة أَرْقُب، أَكَمة آكُم، أَمة آمٍ، أَجَمة آجُم ...
فَعَلة,اسم,فَعائِل,‏(سماعي): جَنَبة جَنائِب ...
فَعَلة,صفة,فِعال,‏(سماعي): حَسَنة حِسان ...
فَعَلة,اسم,فَعَل,اسم جنس جمعي: شَجَرة شَجَر، دَرَجة دَرَج، بَلَحة بَلَح، حَصاة حَصًى، قَناة قَنًا، ناقة ناق، ساحة ساح ...
فَعَلة,اسم,فُعُل,‏(سماعي): خَشَبة خُشُب، ثَمَرة ثُمُر، بَدَنة بُدُن، أَكَمة أُكُم، أَجَمة أُجُم ...
فَعَلة,اسم,فُعْل,‏(سماعي): ناقة نُوق، خَشَبة خُشْب، بَدَنة بُدْن، ساحة سُوح، أَجَمة أُجْم، باحة بُوح ...
فَعَلة,اسم,فِعَل,‏(سماعي): قامة قِيَم، تارة تِيَر، حاجة حِوَج ...
فَعَلة,اسم,فُعُول,‏(سماعي): نَدَبة نُدُوب، حَصاة حُصِيّ، دَواة دُوِيّ، صَفاة صُفِيّ، شَعَفة شُعُوف، قَناة قُنِيّ ...
فَعَلة,اسم,فَواعِل,‏(سماعي): حاجة حَوائِج، عادة عوائِد ...
فَعَلة,اسم,مَفاعِل,‏(سماعي): قَمَعة مَقامِع ...
فَعَلَة,اسم,فِعال,الصحيح اللام غير المضعف: ثَمَرة ثِمار، رَقَبَة رِقاب، أَجَمَة إجام، ناقَة نِياق، عَقَبَة عِقاب ... وشذ (لأنه معتل اللام): أَمَة إماء، أَضاة إضاء ...
فَعُلة,اسم,فَعُل,لَبُؤة لَبُؤ، سَمُرة سَمُر ...
فَعِلة,صفة,فَعائِل,‏(سماعي): خَرِبة خَرائِب، خَفِرة خَفائِر ...
فَعِلة,اسم,فِعال,‏(سماعي): نَمِرة نِمار ...
فَعِلة,صفة,فَعالَى,‏(سماعي): وَجِعة وَجاعَى، ضَبِعة ضَباعَى ...
فَعِلة,صفة,فُعُل,‏(سماعي): فَرِحة فُرُح ...
فَعِلة,اسم,فِعَل,‏(سماعي، وقيل قياسي، وقيل هو اسم جنس جمعي): مَعِدة مِعَد، نَقِمة نِقَم، نَبِقة نِبَق ...
فَعْلة,اسم,أَفْعال,‏(سماعي): هَضْبة أَهْضاب، عَرْصة أَعْراص، ضَهْوة أَضْهاء ...
فَعْلة,اسم,أَفْعِلة,‏(سماعي): شَهْوة أَشْهِية ...
فَعْلة,اسم,فَعائِل,‏(سماعي): كَنَّة كَنائِن، ضَرَّة ضَرائِر، حَلْبة حَلائِب ...
فَعْلة,صفة,فَعائِل,‏(سماعي): رَخْصة رَخائِص ...
فَعْلة,اسم,فَعالٍ,‏(سماعي): لَيْلة لَيالٍ، كَيْكة كَياكٍ ...
فَعْلة,اسم,فِعال,غير يائي العين أو اللام: رَوْضة رِياض، قَصْعة قِصاع، كَلْبة كِلاب، هَضْبة هِضاب ... وشذ (لأنه يائي العين): ضَيْعة ضِياع، عَيْبة عِياب ... وشذ (لأنه يائي اللام): ظَبْية ظِباء ...
فَعْلة,صفة,فِعال,غير يائي العين أو اللام: صَعْبة صِعاب، ضَخْمة ضِخام، كَمْشة كِماش، عَبْلة عِبال، خَدْلة خِدال، جَعْدة جِعاد...
فَعْلة,اسم,فَعَل,‏(سماعي): حَلْقة حَلَق، حَمْأة حَمَأ، بَكْرة بَكَر، فَتْخة فَتَخ...
فَعْلة,اسم,فُعَل,‏(سماعي، وقيل قياسي في الواوي العين): دَوْلة دُوَل، نَوْبة نُوَب، قَرْية قُرًى، نَزْوة نُزًا، شَهْوة شُهًا، حَفْنة حُفَن، غَمْرة غُمَر ...
فَعْلة,اسم,فِعَل,‏(سماعي، وقيل قياسي): قَصْعة قِصَع، ضَيْعة ضِيَع، نَبْقة نِبَق، شَكْلة شِكَل، حَلْقة حِلَق، هَضْبة هِضَب، بَضْعة بِضَع، عَيْبة عِيَب، بَيْعة بِيَع، لَزْبة لِزَب، مَرَّة مِرَر، دَوْلة دِوَل، بَدْرة بِدَر ...
فَعْلة,اسم,فُعُول,‏(سماعي): صَخْرة صُخُور، بَدْرة بُدُور، مَأْنة مُؤُون، مَرَّة مُرُور، فَتْخة فُتُوخ ...
فَعْلة,اسم,مَفاعِل,‏(سماعي): لَمْحة مَلامِح ...
فُعَلة,اسم,فُعَل,‏(سماعي): تُهَمة تُهَم، تُخَمة تُخَم ...
فُعُلة,اسم,فُعَل,‏(سماعي): جُمُعة جُمَع، قُرُبة قُرَب ...
فُعْلة,صفة,فَعائِل,‏(سماعي): حُرَّة حَرائِر، مُرَّة مَرائِر.
فُعْلة,اسم,فِعال,‏(سماعي، وقيل قياسي): نُقْطة نِقاط، بُقْعة بِقاع، رُقْعة رِقاع، نُطْفة نِطاف، رُفْقة رِفاق، قُبَّة قِباب، خُلَّة خِلال، بُرْمة بِرام، حُفْرة حِفار، بُرْقة بِراق، نُقْرة نِقار، غُرْفة غِراف، جُفْرة جِفار، نُكْتة نِكات، ظُلَّة ظِلال، قُلَّة قِلال، شُعْبة شِعاب، جُبَّة جِباب، فُرْضة فِراض ...
فُعْلة,اسم,فُعَل,غُرْفة غُرَف، مُدَّة مُدَد، حُجَّة حُجَج، خُطْوة خُطًا، كُلْية كُلًى، سُورة سُوَر، شُعْبة شُعَب، صُورة صُوَر ...
فُعْلة,صفة,فُعَل,‏(سماعي): بُهْمة بُهَم ...
فُعْلة,اسم,فُعْل,‏(سماعي): دُرَّة دُرّ، بُرْمة بُرْم ...
فُعْلة,اسم,فِعَل,‏(سماعي): صُورة صِوَر، مُدْية مِدًى ...
فُعْلة,اسم,فِعْلان,‏(سماعي): بُرْكة بِرْكان، دُودة دِيدان ...
فُعْلة,اسم,فُعُول,‏(سماعي): حُجْزة حُجُوز، قُنَّة قُنُون، شُعْبة شُعُوب، حُقَّة حُقُوق ...
فِعَلة,اسم,فِعَل,اسم جنس جمعي: عِنَبة عِنَب، حِدَأة حِدَأ ...
فِعِلة,اسم,فِعِل,اسم جنس جمعي: حِبِرة حِبِر ...
فِعْلة,اسم,أَفْعال,‏(سماعي): شِيعة أَشْياع ...
فِعْلة,صفة,أَفْعال,‏(سماعي): نِضْوة أَنْضاء ...
فِعْلة,اسم,أَفْعُل,‏(سماعي، وقيل قياسي): نِعْمة أَنْعُم، شِدَّة أَشُدّ ...
فِعْلة,صفة,فَعائِل,‏(سماعي): لِصَّة لَصائِص، هِمَّة هَمائِم ...
فِعْلة,اسم,فِعال,‏(سماعي): إبْرة إبار، لِقْحة لِقاح، حِقَّة حِقاق، لِمَّة لِمام، جِزْية جِزاء، حِلَّة حِلال ...
فِعْلة,اسم,فُعَل,‏(سماعي، وقيل قياسي): حِلْية حُلًى، لِحْية لُحًى، قِرْية قُرًى ...
فِعْلة,اسم,فِعَل,فيما لا تحذف فاؤه: قِصَّة قِصَص، حِيلة حِيَل، قِطْعة قِطَع، فِرْية فِرًى، رِشْوة رِشًا، حِلْية حِلًى، قِيمة قِيَم ...
فِعْلة,صفة,فِعَل,‏(سماعي، وقيل قياسي): صِمَّة صِمَم، ذِرْبة ذِرَب ...
فِعْلة,اسم,فِعْلان,‏(سماعي): نِسْوة نِسْوان ...
فِعْلة,صفة,فِعْلة,‏(سماعي): صِغْرة صِغْرة، كِبْرة كِبْرة، عِجْزة عِجْزة ...
فِعْلة,اسم,فُعُول,‏(سماعي): حِقْبة حُقُوب ...
فَعَلْعَل,صفة,فَعاعِل,عَرَمْرَم عَرارِم ...
فَعَلَّل,اسم,فَعالِل,سَفَرْجَل سَفارِج، زَبَرْجَد زَبارِج، فَرَزْدَق فَرازِد، خَدَرْنَق خَدارِن، كَنَهْوَر كَناهِر ...
فَعَلَّل,صفة,فَعالِل,شَمَرْدَل شَمارِد، هَمَرْجَل هَمارِج، هَبَيَّخ هَبايِخ ...
فَعْلَل,اسم,فَعالِل,عَقْرَب عَقارِب، عَنْبَر عَنابِر ...
فَعْلَل,صفة,فَعالِل,شَهْرَب شَهارِب، شَدْقَم شَداقِم، سَلْهَب سَلاهِب، بَلْقَع بَلاقِع ...
فَعْلَل,اسم,فَعالِيل,جَعْفَر جَعافِير ...
فَعْلَل,صفة,فَعالِيل,سَلْهَب سَلاهِيب ...
فُعْلُل,اسم,فَعالِل,بُلْبُل بَلابِل، سُنْبُل سَنابِل، جُنْدُب جَنادِب ...
فُعْلُل,صفة,فَعالِل,جُرْشُع جَراشِع ...
فِعْلَل,اسم,فَعالِل,دِرْهَم دَراهِم، ضِفْدَع ضَفادِع ...
فِعْلَل,صفة,فَعالِل,هِبْلَع هَبالِع، هِجْرَع هَجارِع ...
فِعْلَل,اسم,فَعالِيل,دِرْهَم دَراهِيم ...
فِعْلِل,اسم,فَعالِل,زِبْرِج زَبارِج، زِئْبِر زَآبِر ...
فِعْلِل,صفة,فَعالِل,عِرْبِد عَرابِد، هِدْلِق هَدالِق، دِعْبِل دَعابِل ...
فَعْلَلة,اسم,فَعالِل,تَرْجَمة تَراجِم، زَرْدَمة زَرادِم، حَنْجَرة حَناجِر ...
فُعْلُلة,اسم,فَعالِل,جُمْجُمة جَماجِم، قُنْزُعة قَنازِع ...
فُعْلُلة,صفة,فَعالِل,بُهْزُرة بَهازِر ...
فِعْلِلة,اسم,فَعالِل,شِرْذِمة شَراذِم ...
فِعْلِلة,اسم,فَعالِيل,شِرْذِمة شَراذِيم ...
فَعْلَلِيل,اسم,فَعالِل,عَنْدَلِيب عَنادِل، خَنْدَرِيس خَنادِر ...
فَعْلَلِيل,صفة,فَعالِل,سَلْسَبِيل سَلاسِب، دَرْدَبِيس دَرادِب ...
فُعَلْنِية,اسم,فَعالٍ,بُلَهْنِية بَلاهٍ ...
فَعْلُوة,اسم,فَعالٍ,تَرْقُوة تَراقٍ، عَرْقُوة عَراقٍ، عَنْصُوة عَناصٍ ...
فُعْلُول,اسم,فَعالِيل,عُصْفُور عَصافِير، شُحْرُور شَحارِير، صُنْدُوق صنادِيق، زُنْبُور زَنابِير، عُرْجُون عَراجِين، ظُنْبُوب ظَنابِيب ...
فُعْلُول,صفة,فَعالِيل,بُهْلُول بَهالِيل، قُرْضُوب قَراضِيب، دُعْبُوس دَعابِيس، رُعْبُوب رَعابِيب ...
فِعْلَوْل,صفة,فَعالِلة,فِرْعَوْن فَراعِنة ...
فِعْلَوْل,اسم,فَعالِيل,فِرْدَوْس فَرادِيس، بِرْذَوْن بَراذِين، فِرْعَون فَراعِين ...
فَعْلَى,اسم,فَعالٍ,فَتْوَى فَتاوٍ، دَعْوَى دَعاوٍ، عَلْقَى عَلاقٍ ...
