المفرد,النوع,الجمع,الأمثلة
فاعِل,صفة,فُعَّل,الصحيح اللام: صائِم صُوَّم، قاعِد قُعَّد، حائِض حُيَّض، نائِم نُوَّم، شاهِد شُهَّد، هاجِع هُجَّع، باسِل بُسَّل ... وشذ: غازٍ غُزّى، سارٍ سُرَّى، عافٍ عُفَّى ...
فاعِل,صفة,فُعْل,‏(سماعي): باسِل بُسْل، جاهِل جُهْل، حاجّ حُجّ، فارِه فُرْه، عانِس عُنْس، بازِل بُزْل، عائِذ عُوذ، حائِل حُول ...
فاعِل,صفة,فُعَلاء,إذا دل على مدح أو ذم: عالِم عُلَماء، جاهِل جُهَلاء، صالِح صُلَحاء، عاقِل عُقَلاء ... وشذ: ناطِر نُطَراء ...
فاعِل,اسم,فُعْلان,‏(سماعي): حاجِز حُجْزان، حاجِر حُجْران، شاطِئ شُطْئان، باطِن بُطْنان ...
فاعِل,صفة,فُعْلان,‏(سماعي): فارِس فُرْسان، راكِب رُكْبان، شابّ شُبّان، واحِد وُحْدان، يافِع يُفْعان، باغٍ بُغْيان، راعٍ رُعْيان، راهِب رُهْبان، صاحِب صُحْبان، حائِر حُوران ...
فاعِل,اسم,فِعْلان,‏(سماعي): حائِط حِيطان، جانّ جِنّان ...
فاعِل,صفة,فَعَلة,الصحيح اللام، للمذكر العاقل: كاتِب كَتَبة، عاجِز عَجَزة، بائِع باعة، قائِل قالة، قائِد قادة، خائِن خانة وخَوَنة، جائِر جارة وجَوَرة، ساحِر سَحَرة، وارِث وَرَثة، بارّ بَرَرة، قاصّ قَصَصة ... وشذ: ناعِق نَعَقة ...
فاعِل,صفة,فُعَلة,المعتل اللام، للمذكر العاقل: قاضٍ قُضاة، غازٍ غُزاة، راعٍ رُعاة، عارٍ عُراة، بانٍ بُناة ... وشذ (لأنه لغير العاقل): بازٍ بُزاة ... وشذ (لأنه غير معتل اللام): هادِر هُدَرة، جائِر جُوَرة ...
فاعِل,صفة,فِعَلة,‏(سماعي): هادِر هِدَرة ...
فاعِل,صفة,فِعْلة,‏(سماعي): سافِل سِفْلة ...
فاعِل,صفة,فَعْلَى,إذا دل على آفة أو مكروه: هالِك هَلْكَى، رائِب رَوْبَى، فاسِد فَسْدَى، عائِل عَيْلَى، ناحِل نَحْلَى ...
فاعِل,اسم,فُعُول,‏(سماعي): طائِر طُيُور ...
فاعِل,صفة,فُعُول,‏(سماعي): شاهِد شُهُود، حاضِر حُضُور، راقِد رُقُود، ساجِد سُجُود، هاجِع هُجُوع، غازٍ غُزِيّ، باكٍ بُكِيّ، جاثٍ جُثِيّ، عانِس عُنُوس، راكِب رُكُوب، جالِس جُلُوس، قاعِد قُعُود ...
فاعِل,صفة,فَعِيل,‏(سماعي): حاجّ حَجِيج، عازِب عَزِيب ...
فاعِل,اسم,فَواعِل,قارِب قَوارِب، حاجِب حَواجِب، كاهِل كَواهِل، قاسِم قَواسِم، حافِز حَوافِز، شاطِئ شَواطِئ ...
فاعِل,صفة,فَواعِل,‏- المؤنث العاقل: طامِث طَوامِث، ناهِد نَواهِد، حائِض حَوائِض، طالِق طَوالِق، حامِل حوامِل ... - المذكر غير العاقل: شاهِق شَواهِق، شامِخ شَوامِخ، ناهِق نَواهِق ... - المذكر العاقل (سماعي، وقيل قياسي): فارِس فَوارِس، غائِب غَوائِب، غافِل غَوافِل ...
فاعِلاء,اسم,فَواعِل,نافِقاء نَوافِق، قاصِعاء قَواصِع، راهِطاء رَواهِط ...
فاعِلة,صفة,فُعّال,‏(سماعي): صادَّة صُدّاد ...
